cardId,setSeries,idInSetSeries,icon,backIcon,name,versionName,color,cost,cardType,classification,willpower,strength,loreValue,rarity,inkwellFlag,vanillaFlag,bodyguardFlag,challengerFlag,evasiveFlag,recklessFlag,resistFlag,rushFlag,shiftFlag,singerFlag,singTogetherFlag,supportFlag,wardFlag,effectText,flavorText
4001,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,001,,,アグスティン・マドリガル,ドジなパパ,1_umber,1,1_character,ストーリーボーン・導き手・マドリガル家,2,2,1,1_common,1,1,0,0,0,0,0,0,0,0,0,0,0,-,フリエッタの魅力にコロッとなっちゃったわけさ。
4002,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,002,,,アルマ・マドリガル,母家長,1_umber,3,1_character,ストーリーボーン・導き手・マドリガル家,3,1,2,3_rare,1,0,0,0,0,0,0,0,0,0,0,0,0,席について このキャラクターをプレイしたとき、「あなたのデッキからマドリガル家・キャラクター・カード１枚を探してプレイヤー全員に公開する。」をしてもよい。あなたのデッキをシャッフルしてそのカードを一番上に置く。,「家族の 主は おばあちゃん。おばあちゃんが 道しるべ」― ミラベル
4003,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,003,,,アリエル,人魚の歌姫,1_umber,4,1_character,ストーリーボーン・ヒーロー・プリンセス,3,3,2,3_rare,1,0,0,0,0,0,0,0,0,2,0,0,0,歌声７（このキャラクターは歌を歌う際にコスト７として扱う。）,「必ず会いに行く あなたに」
4004,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,004,,,シンデレラ,メロディの紡ぎ手,1_umber,5,1_character,ドリームボーン・ヒーロー・プリンセス,5,1,2,5_legendary,1,0,0,0,0,0,0,0,0,2,0,0,0,歌声９（このキャラクターは歌を歌う際にコスト９として扱う。）麗しの歌声 このキャラクターが歌を歌うたび、あなたの他のプリンセス・キャラクター全員はこのターン、+１される。,-
4005,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,005,,,コグスワース,執事長,1_umber,4,1_character,ドリームボーン・仲間,3,3,1,1_common,1,0,0,0,0,0,0,0,0,0,0,0,0,やり直し！ このキャラクターがクエストするたび、キャラクター１体を選び、あなたの次のターンの始めまで、-２してもよい。,「戦いがお望みなら、受けて立つぞぉ！」
4006,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,006,,,デイジーダック,愛しのレディ,1_umber,1,1_character,ドリームボーン・仲間,3,1,1,2_uncommon,1,1,0,0,0,0,0,0,0,0,0,0,0,-,愛しのデイジー いと美しきアヒル亜麻色の髪は 光たたえて流れ艶めくクチバシ 夏の夕焼け浴びる見事な羽毛は 我ら皆の憧れ
4007,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,007,,,デイジーダック,銃士隊のスパイ,1_umber,4,1_character,ドリームボーン・ヒーロー・銃士,3,2,1,1_common,1,0,0,0,0,0,0,0,0,0,0,0,0,潜入 このキャラクターをプレイしたとき、各対戦相手はカードを１枚選んで捨てる。,彼女には陰謀を阻止する才能がある。
4008,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,008,,,ドナルドダック,銃士隊の兵士,1_umber,3,1_character,ドリームボーン・ヒーロー・銃士,3,2,1,2_uncommon,1,0,2,0,0,0,0,0,0,0,0,0,0,護衛（このキャラクターをエグザートで場に出してもよい。あなたのキャラクターにチャレンジする対戦相手のキャラクターは、可能なら護衛を持つキャラクターを選ぶ。）待ッテー！ このキャラクターをプレイしたとき、キャラクター１体を選び、このターン、+１する。,-
4009,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,009,,,フェリックス・マドリガル,陽気で家族想い,1_umber,3,1_character,ストーリーボーン・仲間・マドリガル家,4,2,2,2_uncommon,1,1,0,0,0,0,0,0,0,0,0,0,0,-,ギフトなんてなくたって、お楽しみはいっぱいさ！
4010,04_ＵＲＳＵＬＡ’Ｓ　ＲＥＴＵＲＮ　逆襲のアースラ,010,,,ガストン,卑劣な取引相手,1_umber,3,1_character,ストーリーボーン・ヴィランズ,4,2,1,4_superrare,1,0,0,0,0,0,0,0,0,0,0,0,0,奸雄の勧誘  ： このターン、あなたが次にキャラクターをプレイするコストの支払いは２減る。,「わかってる、何もかも手配するよ。君は自分の役割を果たしてくれればいいんだ」
